,VaR
2022-10-11,0.009279789205895221
2022-10-12,0.008815036651304158
2022-10-13,0.008612894078514713
2022-10-14,0.006913089875096508
2022-10-17,0.007549256458177466
2022-10-18,0.00759984046541517
2022-10-19,0.007734748997831818
2022-10-20,0.005853897999115089
2022-10-21,0.006117773946936322
2022-10-24,0.007248497419831023
2022-10-25,0.0063155262459292085
2022-10-26,0.005347919304552031
2022-10-27,0.005926515753648615
2022-10-28,0.004977441154926354
2022-10-31,
2022-11-01,
2022-11-02,0.021342396246521938
2022-11-03,0.019695630654841773
2022-11-04,0.019310341895363795
2022-11-07,0.01928775338039251
2022-11-08,0.01644859983421681
2022-11-09,0.015737105893894893
2022-11-10,0.015672394934779055
2022-11-11,0.01560972984782319
2022-11-14,0.012792186342410838
2022-11-15,0.012981247529436413
2022-11-16,0.012360961764473575
2022-11-17,0.01352777966210151
2022-11-18,0.012334987720596666
2022-11-21,0.013699780411297472
2022-11-22,0.01360541583631901
2022-11-23,0.013560603114344521
2022-11-25,0.0137141854686985
2022-11-28,0.013742464033461004
2022-11-29,0.0137191479643137
2022-11-30,
2022-12-01,0.023548172405384593
2022-12-02,0.02358078421258187
2022-12-05,0.023589246136101708
2022-12-06,0.023083048091535583
2022-12-07,0.021835178414128634
2022-12-08,0.021755477696464028
2022-12-09,0.021981068919699465
2022-12-12,0.024458874746653366
2022-12-13,0.016018059619766038
2022-12-14,0.02404678658728795
2022-12-15,0.025090345040205762
2022-12-16,0.018983977509424113
2022-12-19,0.01843359147508831
2022-12-20,0.018024273467253618
2022-12-21,0.018064107369216917
2022-12-22,0.015501571490273206
2022-12-23,0.016462170139277796
2022-12-27,0.01631207222897481
2022-12-28,0.014882121318861989
2022-12-29,0.015165359122612593
2022-12-30,
2023-01-03,0.02154333088984179
2023-01-04,0.013388823836419303
2023-01-05,0.013697927924404545
2023-01-06,0.015778179692117034
2023-01-09,0.015996211558238264
2023-01-10,0.011229077773436966
2023-01-11,0.009915672779528414
2023-01-12,0.010741419125707585
2023-01-13,0.010731649332889967
2023-01-17,0.010882188906258822
2023-01-18,0.009263373551934958
2023-01-19,0.008725056549038004
2023-01-20,0.00787225308572827
2023-01-23,0.008036937572438107
2023-01-24,0.0080979651489088
2023-01-25,0.008016707048319999
2023-01-26,0.008350552715615488
2023-01-27,0.00802915033648666
2023-01-30,0.007916749332726377
2023-01-31,
2023-02-01,0.013640012329590013
2023-02-02,0.013791564458712229
2023-02-03,0.015725279185875757
2023-02-06,0.014905088856415309
2023-02-07,0.012696306812722059
2023-02-08,0.011995712221829649
2023-02-09,0.011212692990433287
2023-02-10,0.011873597110766475
